Species,Order,Family,Extinct in Caribbean,Endemic to Caribbean,Acklins,Crooked Island,Fortune Island,East Caicos,Middle Caicos,North Caicos,Providenciales,Andros,Cat Island,Darby,Eleuthera Island,Great Exuma,Little Exuma,Long Island,New Providence,Ragged Island,Great Inagua,Little Inagua,Grand Bahama,Great Abaco,Little Abaco,Mayaguana,East Plana Cay,San Salvador,Cayman Brac,Little Cayman,Archipielago de Samana,Cayo Ballentino del Medio,Cayo de la Piedra,Cayo Fragoso,Cayo Largo,Cayo Maya,Cayos de Ana Maria,Cuba,Isle of Pines,Samana Cay,San Felipe Cays,Grand Cayman,Hispaniola,Ile de la Gonave,Ile de la Tortue,Jamaica,Mona,Navassa,Anegada,Culebra,Guana,Jost van Dyke,Puerto Rico,St. John,St. Thomas,Tortola,Vieques,Virgin Gorda,St. Croix,Anguilla,St. Barthelemy,St. Eustatius,St. Martin,Tintamarre,Antigua,Barbuda,Barbados,Dominica,Bequia,Carriacou,Grenada,Mustique,Union,Guadeloupe,La Desirade,Marie Galante,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,Little Swan Island,Providencia,San Andres
,,,,,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Other,Other,Other
Pteronotus sp. nov.,Chiroptera,Mormoopidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispaniolaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilonatalus micropus macer,Chiroptera,Natalidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Isle of Pines,,,Grand Caymanæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilonatalus micropus micropus,Chiroptera,Natalidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispaniola,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providencia,
Chilonatalus tumidifrons,Chiroptera,Natalidae,,1,,,,,,,,Andros,Cat Islandæ,,,Great Exumaæ,,,New Providenceæ,,,,,Great Abaco,,,,San Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalus jamaicensis,Chiroptera,Natalidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalus major,Chiroptera,Natalidae,,1,,,,,Middle Caicosæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispaniola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalus primus,Chiroptera,Natalidae,1,1,,,,,,,,Androsæ,,,,,,,New Providenceæ,,,,,Great Abacoæ,,,,,,,,,,,,,,Cuba,Isle of Pinesæ,,,Grand Caymanæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalus stramineus,Chiroptera,Natalidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,,,St. Martin,,Antigua,Barbuda,,Dominica,,,,,,Guadeloupe,,Marie Galante,Martinique,Montserrat,Saba,,,Nevis,,,,
Nyctiellus lepidus,Chiroptera,Natalidae,,1,,,,,,,,Androsæ,Cat Island,,Eleuthera Island,Great Exumaæ,Little Exuma,Long Island,,,,,,,,,,,,,,,,,,,,Cuba,Isle of Pines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noctilio leporinus,Chiroptera,Noctlilionidae,,,,,,,,,,,,,,,,,,,Great Inagua,,,,,,,,,,,,,,,,,Cuba,Isle of Pines,,,,Hispaniola,,,Jamaica,Mona,,,Culebra,,,Puerto Rico,St. John,St. Thomas,,Vieques,,St. Croix,,,,St. Martin,,Antigua,Barbuda,Barbados,Dominica,,Carriacou,Grenada,,,Guadeloupe,,Marie Galante,Martinique,Montserrat,,St. Lucia,St. Vincent,Nevis,St. Kitts,,,
Ardops nichollsi,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Eustatius,St. Martin,,,,,Dominica,,,,,,Guadeloupe,,Marie Galante,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,,,
Ariteus flavescens,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artibeus anthonyi,Chiroptera,Phyllostomidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artibeus jamaicensis,Chiroptera,Phyllostomidae,,,,,,,,,Providenciales,,,,,,,,,,Great Inagua,Little Inagua,,,,Mayaguana,,,Cayman Brac,Little Cayman,,,,,,,,Cuba,Isle of Pines,,,Grand Cayman,Hispaniola,Ile de la Gonave,,Jamaica,,,Anegada,Culebra,Guana,,Puerto Rico,St. John,St. Thomas,Tortola,Vieques,Virgin Gorda,St. Croix,Anguilla,St. Barthelemy,St. Eustatius,St. Martin,,Antigua,Barbuda,Barbados,Dominica,Bequia,Carriacou,Grenada,Mustique,Union,Guadeloupe,La Desirade,Marie Galante,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,,Providencia,San Andres
Artibeus lituratus,Chiroptera,Phyllostomidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grenada,,,,,,,,,,St. Vincent,,,,,
Artibeus planirostris,Chiroptera,Phyllostomidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Vincent,,,,,
Artibeus schwartzi,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbados,,,,,,,,,,,Montserrat,,St. Lucia,St. Vincent,Nevis,St. Kitts,,,
Brachyphylla cavernarum,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guana,,Puerto Rico,St. John,St. Thomas,,,,St. Croix,Anguilla,St. Barthelemy,St. Eustatius,St. Martin,,Antigua,Barbuda,Barbados,Dominica,,,,,,Guadeloupe,La Desirade,Marie Galante,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,,,
Brachyphylla nana nana,Chiroptera,Phyllostomidae,,1,,,,,,,,Androsæ,,,,,,,New Providenceæ,,,,,,,,,,Cayman Bracæ,,,,,,,,,Cuba,Isle of Pines,,,Grand Cayman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachyphylla nana pumila,Chiroptera,Phyllostomidae,,1,,,,,Middle Caicos,,,,,,,,,,,,,,,,,,,,Cayman Bracæ,,,,,,,,,,,,,,Hispaniola,,,Jamaicaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiroderma improvisum,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guadeloupe,,,,Montserrat,,,,,,,,
Cubanycteris silvai,Chiroptera,Phyllostomidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmodus puntajudensis,Chiroptera,Phyllostomidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erophylla bombifrons,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispaniola,,,,,,,,,,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erophylla sezekorni,Chiroptera,Phyllostomidae,,1,Acklins,Crooked Island,,East Caicos,Middle Caicos,North Caicos,Providenciales,Andros,Cat Island,,Eleuthera Island,Great Exuma,Little Exuma,Long Island,New Providence,,Great Inagua,,Grand Bahama,Great Abaco,,Mayaguana,East Plana Cay,San Salvador,Cayman Brac,,,,,,,,,Cuba,Isle of Pines,,,Grand Cayman,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossophaga longirostris,Chiroptera,Phyllostomidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carriacou,Grenada,,Union,,,,,,,,St. Vincent,,,,,
